[Header]
HydroSoftVersion=2.90
CreationDate=07-10-19 15:06:30
FileType=dat
DeviceType=HydroScat-6
DataSource=C:\carlos\bsi_database\iop\hs\HS6_035.RAW
CalSource=C:\carlos\bsi_database\iop\cal_files\HS100649 2016-3-29.cal
Serial=HS100649
Config=B2F0
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb394"
"bb470"
"bb420"
"bb700"
"bb532"
"bb620"
"fl470"
"fl700"
[ColumnHeadings]
Time,Depth,bb394,bb470,bb420,bb700,bb532,bb620,fl470,fl700,bb394uncorr,bb470uncorr,bb420uncorr,bb700uncorr,bb532uncorr,bb620uncorr,fl470uncorr,fl700uncorr,betabb394,betabb470,betabb420,betabb700,betabb532,betabb620,betafl470,betafl700,betabb394uncorr,betabb470uncorr,betabb420uncorr,betabb700uncorr,betabb532uncorr,betabb620uncorr,betafl470uncorr,betafl700uncorr
[Data]
42876.5574884259,5.714801,8.508106E-03,6.645793E-03,7.653072E-03,3.964192E-03,5.55863E-03,4.114854E-03,1.38251E-03,1.793792E-03,8.312273E-03,6.49643E-03,7.475539E-03,3.906735E-03,5.455058E-03,4.054569E-03,1.352209E-03,1.828536E-03,1.313145E-03,1.007058E-03,1.172826E-03,5.891402E-04,8.353671E-04,6.147582E-04,1.991472E-04,2.692984E-04,1.284286E-03,9.850475E-04,1.146664E-03,5.80673E-04,8.201041E-04,6.058743E-04,1.991472E-04,2.692984E-04,
42876.5574884259,5.701901,7.967046E-03,5.835598E-03,7.562907E-03,3.779608E-03,5.161108E-03,4.186192E-03,1.379145E-03,1.973672E-03,7.798483E-03,5.721622E-03,7.389864E-03,3.727393E-03,5.072201E-03,4.123765E-03,1.352209E-03,2.008526E-03,1.233411E-03,8.876638E-04,1.159539E-03,5.619389E-04,7.76786E-04,6.252709E-04,1.991472E-04,2.958065E-04,1.208571E-03,8.708677E-04,1.134039E-03,5.542442E-04,7.636842E-04,6.160713E-04,1.991472E-04,2.958065E-04,
42876.5574884259,5.508401,8.593102E-03,6.22089E-03,7.756187E-03,3.974849E-03,6.44764E-03,4.227823E-03,1.424536E-03,1.973672E-03,8.392813E-03,6.090658E-03,7.573453E-03,3.917082E-03,6.307372E-03,4.164129E-03,1.394204E-03,2.008526E-03,1.32567E-03,9.444425E-04,1.188022E-03,5.907107E-04,9.663763E-04,6.314059E-04,2.053319E-04,2.958065E-04,1.296154E-03,9.252508E-04,1.161093E-03,5.821977E-04,9.457057E-04,6.220196E-04,2.053319E-04,2.958065E-04,
42876.5575,5.276201,8.780855E-03,6.222636E-03,8.302007E-03,3.974849E-03,6.442871E-03,4.725409E-03,1.407835E-03,2.141288E-03,8.570556E-03,6.092328E-03,8.090561E-03,3.917082E-03,6.302814E-03,4.645615E-03,1.377406E-03,2.176245E-03,1.353338E-03,9.446997E-04,1.268457E-03,5.907107E-04,9.656735E-04,7.047327E-04,2.02858E-04,3.205073E-04,1.322348E-03,9.254969E-04,1.237297E-03,5.821977E-04,9.45034E-04,6.92974E-04,2.02858E-04,3.205073E-04,
42876.5575,4.927901,8.795532E-03,6.828046E-03,8.841801E-03,5.027778E-03,6.633754E-03,5.260778E-03,1.409444E-03,2.145376E-03,8.584442E-03,6.670094E-03,8.60002E-03,4.935368E-03,6.485127E-03,.0051617,1.377406E-03,2.180335E-03,1.355501E-03,1.033916E-03,1.348004E-03,7.458758E-04,9.938031E-04,7.836276E-04,2.02858E-04,3.211098E-04,1.324394E-03,1.01064E-03,1.312373E-03,7.322579E-04,9.719006E-04,7.69027E-04,2.02858E-04,3.211098E-04,
42876.5575,4.927901,9.392709E-03,6.828046E-03,9.714942E-03,6.751628E-03,6.958846E-03,5.455706E-03,1.561449E-03,2.300727E-03,9.148221E-03,6.670094E-03,9.420048E-03,6.585665E-03,6.79506E-03,5.349105E-03,1.524385E-03,2.335781E-03,1.443504E-03,1.033916E-03,1.476674E-03,9.999117E-04,1.04171E-03,8.123533E-04,2.245044E-04,3.440031E-04,1.407475E-03,1.01064E-03,1.433217E-03,9.754544E-04,1.017574E-03,7.96644E-04,2.245044E-04,3.440031E-04,
42876.5575115741,4.863401,9.369129E-03,7.379782E-03,9.106767E-03,6.751628E-03,7.030657E-03,5.377701E-03,1.498384E-03,2.214875E-03,9.126004E-03,7.194426E-03,8.849394E-03,6.585665E-03,6.863427E-03,5.274143E-03,1.461394E-03,2.249877E-03,1.44003E-03,1.115223E-03,1.38705E-03,9.999117E-04,1.052293E-03,8.008581E-04,2.152274E-04,3.313515E-04,1.404201E-03,1.087908E-03,1.349123E-03,9.754544E-04,1.027649E-03,7.855971E-04,2.152274E-04,3.313515E-04,
42876.5575115741,5.121401,9.649383E-03,7.690001E-03,9.479847E-03,5.483204E-03,7.145631E-03,5.689987E-03,1.775813E-03,2.214875E-03,9.389841E-03,7.488319E-03,9.199742E-03,5.373378E-03,6.972815E-03,5.573991E-03,1.730156E-03,2.249877E-03,1.481329E-03,1.160939E-03,1.442029E-03,8.1299E-04,1.069236E-03,8.468782E-04,2.548094E-04,3.313515E-04,1.443082E-03,1.131218E-03,1.400752E-03,7.968054E-04,1.043769E-03,8.297843E-04,2.548094E-04,3.313515E-04,
42876.5575115741,5.327801,1.003079E-02,7.690001E-03,9.070977E-03,5.444596E-03,7.251105E-03,5.467711E-03,1.479375E-03,2.116759E-03,9.748105E-03,7.488319E-03,8.815737E-03,5.336302E-03,7.073087E-03,5.360637E-03,1.440397E-03,.0021517,1.537535E-03,1.160939E-03,1.381776E-03,8.073004E-04,1.084779E-03,8.141224E-04,2.12135E-04,3.168925E-04,1.495878E-03,1.131218E-03,1.344163E-03,7.913417E-04,1.058546E-03,7.983434E-04,2.12135E-04,3.168925E-04,
42876.5575115741,5.624501,8.83664E-03,6.575759E-03,.0080466,5.446391E-03,6.233196E-03,4.495756E-03,1.47332E-03,2.108583E-03,8.623323E-03,6.429636E-03,7.848836E-03,5.338027E-03,6.10227E-03,4.423613E-03,1.440397E-03,2.143519E-03,1.361559E-03,9.967379E-04,1.230819E-03,8.075649E-04,9.347746E-04,6.708899E-04,2.12135E-04,3.156876E-04,1.330124E-03,9.752045E-04,1.201675E-03,7.915958E-04,9.154807E-04,6.602585E-04,2.12135E-04,3.156876E-04,
