[DateTime],DateTimeUTC,Millisecond,[GpsTime],Latitude,Longitude,SatelliteCount
6/1/2019 12:13,13:08.8,4981991,6/1/2019 12:13,50.1867,-66.4216,9
6/1/2019 12:13,13:09.8,4983044,6/1/2019 12:13,50.1867,-66.4215,9
6/1/2019 12:13,13:10.9,4984096,6/1/2019 12:13,50.1866,-66.4215,9
6/1/2019 12:13,13:13.8,4986989,6/1/2019 12:13,50.1865,-66.4215,9
6/1/2019 12:13,13:15.9,4989083,6/1/2019 12:13,50.1864,-66.4214,9
6/1/2019 12:13,13:18.7,4991947,6/1/2019 12:13,50.1863,-66.4214,8
6/1/2019 12:13,13:20.8,4994034,6/1/2019 12:13,50.1862,-66.4213,8
6/1/2019 12:13,13:22.9,4996132,6/1/2019 12:13,50.1861,-66.4213,9
6/1/2019 12:13,13:24.0,4997181,6/1/2019 12:13,50.1861,-66.4212,9
6/1/2019 12:13,13:25.8,4999022,6/1/2019 12:13,50.186,-66.4212,4
6/1/2019 12:13,13:27.9,5001104,6/1/2019 12:13,50.1859,-66.4212,4
6/1/2019 12:13,13:28.9,5002154,6/1/2019 12:13,50.1859,-66.4211,4
6/1/2019 12:13,13:30.8,5003976,6/1/2019 12:13,50.1858,-66.4211,5
6/1/2019 12:13,13:32.9,5006077,6/1/2019 12:13,50.1857,-66.4211,5
6/1/2019 12:13,13:35.0,5008234,6/1/2019 12:13,50.1857,-66.421,5
6/1/2019 12:13,13:35.7,5008957,6/1/2019 12:13,50.1856,-66.421,5
6/1/2019 12:13,13:36.8,5010001,6/1/2019 12:13,50.1855,-66.421,6
6/1/2019 12:13,13:39.9,5013136,6/1/2019 12:13,50.1854,-66.4209,6
6/1/2019 12:13,13:41.8,5014990,6/1/2019 12:13,50.1853,-66.4209,6
6/1/2019 12:13,13:43.9,5017137,6/1/2019 12:13,50.1853,-66.4208,6
6/1/2019 12:13,13:44.9,5018115,6/1/2019 12:13,50.1852,-66.4208,6
6/1/2019 12:13,13:46.7,5019942,6/1/2019 12:13,50.1851,-66.4208,6
